0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:50 +0900] "GET /myapp/images/person_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:51 +0900] "GET /myapp/page7 HTTP/1.1" 200 14542
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:51 +0900] "GET /myapp/resources/js/daum-map.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:53 +0900] "GET /myapp/images/about.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:54 +0900] "GET /myapp/images/person_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:55 +0900] "GET /myapp/page5 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:56 +0900] "GET /myapp/images/about.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:56 +0900] "GET /myapp/images/person_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:57 +0900] "GET /myapp/page4 HTTP/1.1" 500 3724
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:58 +0900] "GET /myapp/images/about.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:58 +0900] "GET /myapp/images/person_1.jpg HTTP/1.1" 404 721
